/X/XX/XXXH/xxxHOLiC Rei$xxxHoLic/Rei
/H/HA/HAYA/Hayate the Combat Butler$Hayate the Combat Butler
/K/KU/KURO/Kuroshitsuji$Kuroshitsuji
/A/AC/ACCH/Acchi Kocchi$Acchi Kocchi
/W/WO/WORK/Working!!$Working!!
/T/TO/TOMO/Tomo-chan wa Onnanoko!$Tomo-chan wa Onnanoko!
/C/CA/CARD/Cardcaptor Sakura - Clear Card Arc$Card Captor Sakura/Clear Card Arc
/A/AK/AKAG/Akagami no Shirayukihime$Akagami no Shirayukihime
/F/FA/FATE/Fate Apocrypha$Fate/Fate Apocrypha
/F/FA/FATE/Fate Extra - CCC Fox Tail$Fate/Fate Extra - CCC Fox Tail
/D/DE/DEMI/Demi-chan wa Kataritai$Interviews with Monster Girls
/G/GA/GATE/Gate - Jietai Kare no Chi nite Kaku Tatakeri$Gate - Jietai Kare no Chi nite Kaku Tatakeri
/G/GA/GATE/GATE - Jieitai Kanochi nite, Kaku Tatakaeri$Gate - Jietai Kare no Chi nite Kaku Tatakeri
/K/KO/KOBA/Kobayashi-san Chi no Maid Dragon$Miss Kobayashi's Dragon Maid
/G/GA/GABR/Gabriel Dropout$Gabriel Dropout
/D/DU/DUNG/Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka Gaiden - Sword Oratoria$Is It Wrong to Try to Pick Up Girls in a Dungeon On the Side - Sword Oratoria
/D/DA/DANT/Dantalian no Shoka$Dantalian no Shoka
/I/IN/INUG/Inugami-san to Nekoyama-san$Inugami-san to Nekoyama-san
/Y/YO/YOUJ/Youjo Senki$The Saga of Tanya the Evil (Youjo Senki)
/F/FL/FLYI/Flying Witch$Flying Witch
/H/HA/HATA/Hataraku Maou-sama!$Hataraku Maou-sama!
/K/KU/KUDA/Kudamimi no Neko$Kudamimi no Neko
/M/MO/MOUS/Mousou Telepathy$Mousou Telepathy
/K/KO/KOUK/Koukaku no Pandora - Ghost Urn$Pandora in the Crimson Shell - Ghost Urn
/K/KY/KYOU/Kyou no Kerberos$Today's Cerberos
/N/NE/NEW_/New Game!$New Game!
/H/HI/HIGH/High-School DxD$Highschool DxD
/K/KO/KOMI/Komi-san wa Komyushou Desu$Komi-san wa Komyushou Desu
/C/CI/CITR/Citrus (Saburouta)$Citrus (Saburouta)
/H/HA/HATA/Hataraku Maou-sama!$Hataraku Maou-sama!
/Y/YU/YURU/Yuru Camp$Yuru Camp
/D/DE/DEAT/Death March kara Hajimaru Isekai Kyousoukyoku$Death March kara Hajimaru Isekai Kyousoukyoku
/B/BE/BEEL/Beelzebub-jou no Oki ni Mesu mama.$Beelzebub-jou no Oki ni Mesu mama
/S/SE/SEIS/Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai$Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai
/H/HO/HORI/Horimiya$Horimiya
/S/SE/SEWA/Sewayaki Kitsune no Senko-san$Sewayaki Kitsune no Senko-san
/U/UR/URAM/Urami Koi, Koi, Urami Koi.$Urami Koi, Koi, Urami Koi
/U/UR/URAM/Urami Koi, Koi, Urami Koi$Urami Koi, Koi, Urami Koi
/U/UR/URAM/Uramikoi, Koi, Uramikoi.$Urami Koi, Koi, Urami Koi
/T/TO/TOAR/Toaru Kagaku no Railgun$A Certain Scientific Railgun
/M/MA/MAOU/Maou no Hisho$Maou no Hisho (Satan's Secretary)
/N/NE/NETT/Nettaigyo wa Yuki ni Kogareru$A Tropical Fish Yearns for Snow (Nettaigyo wa Yuki ni Kogareru)
/K/KO/KONJ/Konjiki no Moji Tsukai$Konjiki no Moji Tsukai
/K/KE/KEKK/Kekkon Yubiwa Monogatari$Tales of Wedding Rings (Kekkon Yubiwa Monogatari)
/M/MA/MAOU/Maou-jou de Oyasumi$Sweet Dreams in the Demon Castle (Maou-jou de Oyasumi)
/S/SH/SHOK/Shokugeki no Soma$Shokugeki no Soma
/_Autouploads/AutoUploaded from Assorted Sources/Iron Ladies$Iron Ladies
/N/NE/NEKO/Nekomusume Shoukougun$Catulus Syndrome (Nekomusume Shoukougun)
/K/KA/KANO/Kanojo, Okarishimasu$Rent-A-Girlfriend (Kanojo, Okarishimasu)
/B/BO/BOKU/Bokutachi wa Benkyou ga Dekinai$We Never Learn (Bokutachi wa Benkyou ga Dekinai)
/D/DI/DICE/DICE The Cube that Changes Everything$DICE The Cube that Changes Everything
/J/JO/JOSH/Joshi Kausei$Carefree High School Girl (Joshi Kausei)
/S/SE/SENR/Senryuu Shoujo$Poetry Girl (Senryuu Shoujo)
/A/A_/A_ST/A Story About Treating a Female Knight Who Has Never Been Treated as a Woman as a Woman$A Story About Treating a Female Knight
/M/MA/MAHO/Mahou Shoujo Lyrical Nanoha Innocents$Nanoha/Mahou Shoujo Lyrical Nanoha INNOCENTS (2014)
/_Autouploads/AutoUploaded from Assorted Sources/Kemono Michi$Kemono Michi
/N/NE/NEKO/Nekomusume Shoukougun$Catulus Syndrome (Nekomusume Shoukougun)
/Catulus Syndrome$Catulus Syndrome (Nekomusume Shoukougun)
/Noble Witches - 506th Joint Fighter Wing$Strike Witches/Noble Witches - 506th Joint Fighter Wing
/Strike Witches - 501 Butai Hasshinshimasu!$Strike Witches/Strike Witches - 501 Butai Hasshinshimasu!
/M/MA/MAHO/Mahou Shoujo Lyrical Nanoha ViVid Life$Nanoha/Mahou Shoujo Lyrical Nanoha Vivid Life
/M/MA/MAHO/Mahou Shoujo Lyrical Nanoha ViVid$Nanoha/Mahou Shoujo Lyrical Nanoha Vivid (2009)
/Y/YA/YAGA/Yagate Kimi ni Naru$Bloom Into You (Yagate Kimi ni Naru)
/Nukoduke$Nukoduke!
/Konjiki no Word Master$Konjiki no Word Master - Yuusha Yonin ni Makikomareta Unique Cheat
/The Ancient Magus' Bride$The Ancient Magus' Bride (Mahou Tsukai no Yome)
/Mahoutsukai no Yome$The Ancient Magus' Bride (Mahou Tsukai no Yome)
/In Another World With My Smartphone$In Another World With My Smartphone
/T/TO/TOMO/Tomo-chan wa Onna no ko!$Tomo-chan wa Onnanoko!
/The Duke of Death and His Black Maid$The Duke of Death and His Black Maid
/Chiisana Mori no Ookami-chan$Chiisana Mori no Ookami-chan
/Reincarnation no Kaben$Reincarnation no Kaben
/Fate／Extra CCC Fox Tail$Fate/Fate Extra - CCC Fox Tail
/Fate／Extra CCC FoxTail$Fate/Fate Extra - CCC Fox Tail
/Fate／Apocrypha $Fate/Fate Apocrypha
/Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka Gaiden - Sword Oratoria$Is It Wrong to Try to Pick Up Girls in a Dungeon On the Side - Sword Oratoria
/Ayakashi Ko$Ayakashiko
/A Story About Treating a Female Knight, Who Has Never Been Treated as a Woman, as a Woman$A Story About Treating a Female Knight
/Tamen de Gushi$Tamen de Gushi
/Release That Witch$Release That Witch
/Tonikaku Kawaii$Tonikaku Kawaii
/Tsurezure Biyori$Our Wonderful Days (Tsurezure Biyori)
/Our Wonderful Days$Our Wonderful Days (Tsurezure Biyori)
/Kono Bijutsubu ni wa Mondai ga Aru!$This Art Club Has a Problem! (Kono Bijutsubu ni wa Mondai ga Aru!)
/Assassin's Pride$Assassin's Pride
/Tate no Yuusha no Nariagari$The Rising of the Shield Hero
/A Returner's Magic Should Be Special$A Returner's Magic Should Be Special
/Yahari Ore no Seishun Love Come wa Machigatteiru -Monologue-$Yahari Ore no Seishun Love Come wa Machigatteiru. Monologue
/Koushaku Reijou no Tashinami$Accomplishments of the Duke's Daughter (Koushaku Reijou no Tashinami)
/Bungo Stray Dogs$Bungo Stray Dogs
/Darwin's Game$Darwin's Game
/My Girlfriend is a Villain$My Girlfriend is a Villain
/Senpai ga Uzai Kouhai no Hanashi$My Senpai is Annoying (Senpai ga Uzai Kouhai no Hanashi)
/Isekai Nonbiri Nouka$Farming Life in Another World (Isekai Nonbiri Nouka)
/Isekai wo Seigyo Mahou de Kirihirake$Carve the Different World with Control Magic! (Isekai wo Seigyo Mahou de Kirihirake)
/Spy x Family$Spy x Family
/Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tensei shite shimatta$My Next Life as a Villainess - All Routes Lead to Doom!
/Genjitsushugisha no Oukokukaizouk$How a Realist Hero Rebuilt the Kingdom (Genjitsushugisha no Oukokukaizouki)
/In Another World, I'm Called the Black Healer$In Another World, I'm Called the Black Healer
/Mushoku Tensei ~Isekai Ittara Honki Dasu~$Mushoku Tensei ~Isekai Ittara Honki Dasu~
/Hino-san no Baka$Hino-san no Baka
/Mato Seihei no Slave$Slave of the Hell Soldiers (Mato Seihei no Slave)
/Moto Sekai Ichi'i Subchara Ikusei Nikki Hai Player, Isekai wo Kouryakuchuu!$Moto Sekai Ichi'i Subchara Ikusei Nikki Hai Player, Isekai wo Kouryakuchuu!
/How to be God$How to be God
/Kumo Desu ga, Nani ka$So I'm a Spider, So What (Kumo Desu ga, Nani ka)
/Fu-fu$Fu-Fu
/The New Gate$The New Gate
/Sono Bisque Doll wa Koi wo Suru$My Dress-Up Darling (Sono Bisque Doll wa Koi wo Suru)
/Sono Bisque Doll wa Koi o Suru$My Dress-Up Darling (Sono Bisque Doll wa Koi wo Suru)
/King of Apocalypse$King of Apocalypse
/Otome no Teikoku$Maidens Empire (Otome no Teikoku)
/Genjitsushugi Yuusha no Oukoku Saikenki$How a Realist Hero Rebuilt the Kingdom (Genjitsushugisha no Oukokukaizouki)
/The Monster Duchess and Contract Princess$The Monster Duchess and Contract Princess
/The Necromancer Maid$The Necromancer Maid
/The Terrifying Hitman and The Little Girl He Took in$The Terrifying Hitman and The Little Girl He Took in
/Gokushufudou The Way of the House Husband$Gokushufudou - The Way of the House Husband
/Hachinan tte, Sore wa Nai Deshou!$The 8th Son Are You Kidding Me (Hachinan tte, Sore wa Nai Deshou!)
/I'm The Great Immortal$I'm The Great Immortal
/The Scholar's Reincarnation$The Scholar's Reincarnation
/Crepuscule$Crepuscule
/My Tiny Senpai From Work$My Tiny Senpai From Work
/Futaribeya$A Room For Two (Futaribeya)
/Isekai wa Smartphone to Tomo ni.$In Another World With My Smartphone
/An Evil Dragon That Was Sealed Away For 300 Years Became My Friend$An Evil Dragon That Was Sealed Away For 300 Years Became My Friend
/Peerless Alchemist$Peerless Alchemist
/That Girl Is Not Just Cute$That Girl Is Not Just Cute
/Hinamatsuri$Hinamatsuri
/Doctor Elise The Royal Lady with the Lamp$Doctor Elise The Royal Lady with the Lamp
/Nyanko Days$Nyanko Days
/Immortal Swordsman in the Reverse World$Immortal Swordsman in the Reverse World
/Kitsune Spirit$Kitsune Spirit
/Lv2 kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life$Lv2 kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life
/Doctor Elise$Doctor Elise The Royal Lady with the Lamp
/Metropolitan System$Metropolitan System
/Nidome no Jinsei wo Isekai de$Second Life in Another World (Nidome no Jinsei wo Isekai de)
/Solo Leveling$Solo Leveling (Na Honjaman Level Up)
/Useless Princesses$Failed Princesses (Dekisokonai no Himegimi Tachi)
/Ayakashiko$Ayakashiko
/Cat Maid and Mistress$Cat Maid and Mistress
/The Reincarnation Magician of the Inferior Eyes$The Reincarnation Magician of the Inferior Eyes
/Yuukyuu no Gusha Asley no, Kenja no Susume$The Principle of a Philosopher by Eternal Fool "Asley" (Yuukyuu no Gusha Asley no, Kenja no Susume)
/Yamada to Kase-san.$Yamada to Kase-san
/Yamada to Kase-san$Yamada to Kase-san
/Magical Girl Lyrical Nanoha Reflection THE COMICS$Magical Girl Lyrical Nanoha Reflection THE COMICS
/Mahou Shoujo Lyrical Nanoha Movie 1st the Comics$Nanoha/Mahou Shoujo Lyrical Nanoha Movie 1st the Comics
/ORIGINAL CHRONICLE Magical Girl Lyrical Nanoha The 1st$Mahou Shoujo Lyrical Nanoha ORIGINAL CHRONICLE
/Maid-san in My House$Maid-san in My House
/Strike Witches - Kurenai no Majo-tachi$Strike Witches/Strike Witches - Kurenai no Majo-tachi
/Strike Witches - Kimi to Tsunagaru Sora$Strike Witches/Strike Witches - Kimi to Tsunagaru Sora
/Strike Witches - One-Winged Witches$Strike Witches/Strike Witches - One-Winged Witches
/Brave Witches Prequel$Strike Witches/Brave Witches Prequel
/Potion Danomi de Ikinobimasu!$I Shall Survive Using Potions
/Soulmate$Soulmate
/Ouji-sama Nante Iranai$We Don't Need a Prince (Ouji-sama Nante Iranai)
/Crimson Karma$Crimson Karma
/Octave$Octave
/Girl Friends$Girl Friends
/Princess Bibliophile$Bibliophile Princess
/Tensei Shitara Slime Datta Ken$That Time I Got Reincarnated as a Slime
/Sousou no Frieren$Frieren at the Funeral (Sousou no Frieren)
/Beware of the Villainess!$Beware of the Villainess!
/The Lady and the Beast$The Lady and the Beast
/Soulmates$Soulmates
/Seijo no Maryoku wa Bannou Desu$The Saint's Magic Power Is Omnipotent
/Yofukashi no Uta$Yofukashi no Uta
/Transfer Student$Transfer Student
/School Zone$School Zone
/Hana ni Arashi$Hana ni Arashi
/Shikimori's Not Just a Cutie$Shikimori's Not Just a Cutie (That Girl Is Not Just Cute)
/Wotaku ni Koi wa Muzukashii$Wotakoi - Love Is Hard for Otaku
/Whispering You a Love Song$Whisper Me a Love Song
/Bocchi Kaibutsu to Moumoku Shoujo$Beauty and the Beast Girl (Bocchi Kaibutsu to Moumoku Shoujo)
/Beauty and the Beast Girl$Beauty and the Beast Girl (Bocchi Kaibutsu to Moumoku Shoujo)
/Her Shim-Cheong$Her Tale of Shim Chong (Her Shim-Cheong)
/School Zone$School Zone
/Doughnuts Under a Crescent Moon$Doughnuts Under a Crescent Moon
/Tou no Kanri o Shite Miyou$Let's Manage the Tower (Tou no Kanri o Shite Miyou)
/The Two of Them Are Pretty Much Like This$The Two of Them Are Pretty Much Like This
/Miss Angel and Miss Devil$Miss Angel and Miss Devil
/Tensei Shitara Ken Deshita$Reincarnated as a Sword (Tensei Shitara Ken Deshita)
