Doctor Elise$Doctor Elise The Royal Lady with the Lamp
Genjitsushugi Yuusha no Oukoku Saikenki$Genjitsushugisha no Oukokukaizouki
To Aru Kagaku no Railgun$Toaru Kagaku no Railgun
The Saint's Magic Power Is Omnipotent$Seijo no Maryoku wa Bannou Desu
Chillin' in Another World with Level 2 Super Cheat Powers$Lv2 kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life
My Food Looks Very Cute$My Food Seems To Be Very Cute
Shijou Saikyou no Daimaou, Murabito A ni Tensei suru$The Greatest Demon Lord Is Reborn as a Typical Nobody
Sono Bisque Doll wa Koi o Suru$Sono Bisque Doll wa Koi wo Suru
