"MangaID"$"MangaName"$"FollowedDate"
"2d4cab5a-d1f3-4b75-be08-ae5dbbec6acd"$"Mahou Shoujo Lyrical Nanoha INNOCENTS"$"2024-11-20T18:11:26.400418+00:00"
"60fe39c1-3166-43a9-a5dc-76518f507c01"$"Noble Witches - 506th Joint Fighter Wing"$"2024-11-20T18:11:26.972929+00:00"
"669243b1-3a6c-4e25-9857-f57eee9ce18a"$"Satan's Secretary"$"2024-11-20T18:11:27.522985+00:00"
"2e71d530-79b7-444d-89c9-29f9534d08d2"$"My Cute Little Kitten"$"2024-11-20T18:11:28.130892+00:00"
"3b5c0def-79ae-44e8-9d71-9aa2e83f9a9f"$"Reincarnation no Kaben"$"2024-11-20T18:11:29.689412+00:00"
"452513a9-c698-410e-9bf9-fe90309780d2"$"Fate/EXTRA CCC FoxTail"$"2024-11-20T18:11:30.634807+00:00"
"22aa03b4-0f72-47a7-87bd-a1f3309afa49"$"Mahou Shoujo Lyrical Nanoha ViVid"$"2024-11-20T18:11:32.685431+00:00"
"0c697908-bafd-44ec-ae29-b8515becd506"$"Shiawase Kanako no Koroshiya Seikatsu"$"2024-11-20T18:11:33.312347+00:00"
"34f043ef-a423-422a-8e26-a54720645ee5"$"Miss Angel and Miss Devil"$"2024-11-20T18:11:35.226668+00:00"
"449be401-bcaa-4af7-9a97-44e273a9c371"$"Inugami-san to Nekoyama-san"$"2024-11-20T18:11:36.178062+00:00"
"5a46590b-14df-43f6-8450-5813cbf482e7"$"Hachinan tte, Sore wa Nai Deshou!"$"2024-11-20T18:11:37.115055+00:00"
"41e5753f-39d9-4584-a194-d7100a6ccf9a"$"Houkago no Meikyuu Boukensha: Nippon to Isekai wo Ikiki Dekiru You ni Natta Boku wa Level Up ni Isoshimi Masu"$"2024-11-20T18:11:37.744957+00:00"
"0dac60e0-1358-44dd-88cf-927a5fcff348"$"Level 1 Dakedo Unique Skill de Saikyou desu"$"2024-11-20T18:11:39.609238+00:00"
"0951feea-ba41-4ad0-9cb0-edadc77eae73"$"Kakegurui - Compulsive Gambler"$"2024-11-20T18:11:40.246507+00:00"
"0f237a5f-07ad-4e43-bbd9-2a320694434d"$"The Rising of the Shield Hero"$"2024-11-20T18:11:41.225138+00:00"
"50fc2f0f-aeac-4152-82ba-164b3bb3b5b3"$"The Monstrous Duke's Adopted Daughter"$"2024-11-20T18:11:41.932829+00:00"
"5f20891f-0136-4fa8-afb7-d72f2af23c65"$"Shokugeki no Soma"$"2024-11-20T18:11:45.686242+00:00"
"1ef6ddce-7930-45ae-a335-9a45604b99f7"$"Genjitsushugi Yuusha no Oukoku Saikenki"$"2024-11-20T18:11:51.572577+00:00"
"20fd49ae-0e6f-451d-94ca-00aa780f3897"$"Catulus Syndrome"$"2024-11-20T18:11:52.835352+00:00"
"37838287-3fe9-443d-9d22-eafc1089140e"$"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~"$"2024-11-20T18:11:53.395835+00:00"
"0a2fd70d-e4de-49fb-8e81-89311d46b329"$"Ruri Dragon (Oneshot)"$"2024-11-20T18:11:53.877395+00:00"
"3a605c68-a3e4-4027-a198-6976fb00ce4e"$"Ichigo no Haitta Soda-sui"$"2024-11-20T18:11:54.486602+00:00"
"0fa5dab2-250a-4f69-bd15-9ceea54176fa"$"Assassin de Aru Ore no Sutetasu ga Yuusha Yori mo Akiraka ni Tsuyoi Nodaga"$"2024-11-20T18:11:55.370897+00:00"
"2d454afa-cc59-40cd-b554-94f5eeb7a46f"$"Killing Me!"$"2024-11-20T18:11:56.011843+00:00"
"009b6788-48f3-4e78-975c-097f54def7ab"$"Urami Koi, Koi, Urami Koi"$"2024-11-20T18:11:57.103576+00:00"
"688eee00-d587-4998-a999-652767aac846"$"Convenient Semi-Friend"$"2024-11-20T18:11:57.811327+00:00"
"0e8fac17-979e-4e37-8f45-2c334b25d6dd"$"Whisper Me a Love Song"$"2024-11-20T18:11:58.498422+00:00"
"6b958848-c885-4735-9201-12ee77abcb3c"$"SPY×FAMILY"$"2024-11-20T18:11:59.770647+00:00"
"2fec6641-beb1-4ae9-a32f-204dd06688ac"$"Otonari no Tenshi-sama ni Itsu no Ma ni ka Dame Ningen ni Sareteita Ken"$"2024-11-20T18:12:04.229194+00:00"
"46596dea-95de-40e8-b2b8-4e63aa6acd1a"$"The Magical Revolution of the Reincarnated Princess and the Genius Young Lady"$"2024-11-20T18:12:04.831164+00:00"
"45ed7ed8-23b3-45bf-9b9c-da6e9e88f747"$"Isekai de Tochi o Katte Noujou o Tsukurou"$"2024-11-20T18:12:06.028618+00:00"
"32d76d19-8a05-4db0-9fc2-e0b0648fe9d0"$"Solo Leveling"$"2024-11-20T18:12:39.756061+00:00"
"3fc29b26-682d-4358-8d0e-f4f9a7ca9d4a"$"Strike Witches - 501 Butai Hasshinshimasu!"$"2024-11-20T18:12:40.250091+00:00"
"245f2aac-1aee-4983-b2d5-34ea5dab460e"$"xxxHOLiC Rei"$"2024-11-20T18:12:41.480145+00:00"
"14677fdb-7b5f-4178-9775-dc3e11752f0f"$"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru"$"2024-11-20T18:12:44.038756+00:00"
